endDate,value_alex,value_james
2015-10-12,6,
2015-10-13,35,
2015-10-14,49,
2015-10-15,29,
2015-10-16,95,
2015-10-17,109,
2015-10-18,42,
2015-10-19,31,
2015-10-20,32,
2015-10-21,61,
2015-10-22,31,
2015-10-23,93,
2015-10-24,93,
2015-10-25,32,
2015-10-26,34,
2015-10-27,51,
2015-10-28,33,
2015-10-29,31,
2015-10-30,61,
2015-10-31,84,
2015-11-01,45,
2015-11-02,48,
2015-11-03,43,
2015-11-04,36,
2015-11-05,30,
2015-11-06,32,
2015-11-07,52,
2015-11-08,47,
2015-11-09,35,
2015-11-10,48,
2015-11-11,44,
2015-11-12,39,
2015-11-13,50,
2015-11-14,55,
2015-11-15,50,
2015-11-16,37,
2015-11-17,48,
2015-11-18,31,
2015-11-19,39,
2015-11-20,31,
2015-11-21,80,
2015-11-22,36,
2015-11-23,44,
2015-11-24,56,
2015-11-25,75,
2015-11-26,108,
2015-11-27,68,
2015-11-28,29,
2015-11-29,42,
2015-11-30,13,
2015-12-01,15,
2015-12-02,39,
2015-12-03,74,
2015-12-04,44,
2015-12-05,28,
2015-12-06,20,
2015-12-07,27,
2015-12-08,22,
2015-12-09,26,
2015-12-10,43,
2015-12-11,75,
2015-12-12,27,
2015-12-13,56,
2015-12-14,20,
2015-12-15,38,
2015-12-16,36,
2015-12-17,46,
2015-12-18,124,
2015-12-19,40,
2015-12-20,75,
2015-12-21,21,
2015-12-22,33,
2015-12-23,31,
2015-12-24,27,
2015-12-25,46,
2015-12-26,91,
2015-12-27,100,
2015-12-28,27,
2015-12-29,59,
2015-12-30,25,
2015-12-31,92,
2016-01-01,125,
2016-01-02,78,
2016-01-03,23,
2016-01-04,28,
2016-01-05,34,
2016-01-06,48,
2016-01-07,13,
2016-01-08,62,
2016-01-09,38,
2016-01-10,63,
2016-01-11,23,
2016-01-12,84,
2016-01-13,37,
2016-01-14,35,
2016-01-15,33,
2016-01-16,44,
2016-01-17,45,
2016-01-18,24,
2016-01-19,67,
2016-01-20,73,
2016-01-21,21,
2016-01-22,29,
2016-01-23,85,
2016-01-24,41,
2016-01-25,50,
2016-01-26,66,
2016-01-27,37,
2016-01-28,23,
2016-01-29,40,
2016-01-30,31,
2016-01-31,29,
2016-02-01,25,
2016-02-02,30,
2016-02-03,30,
2016-02-04,52,
2016-02-05,37,
2016-02-06,19,
2016-02-07,56,
2016-02-08,37,
2016-02-09,20,
2016-02-10,15,
2016-02-11,34,
2016-02-12,48,
2016-02-13,25,
2016-02-14,46,
2016-02-15,51,
2016-02-16,42,
2016-02-17,21,
2016-02-18,27,
2016-02-19,40,
2016-02-20,65,
2016-02-21,58,
2016-02-22,37,
2016-02-23,37,
2016-02-24,39,
2016-02-25,39,
2016-02-26,79,
2016-02-27,97,
2016-02-28,57,
2016-02-29,44,
2016-03-01,31,
2016-03-02,52,
2016-03-03,48,
2016-03-04,57,
2016-03-05,21,
2016-03-06,113,
2016-03-07,136,
2016-03-08,106,
2016-03-09,57,
2016-03-10,92,
2016-03-11,102,
2016-03-12,109,
2016-03-13,101,
2016-03-14,11,
2016-03-15,25,
2016-03-16,17,
2016-03-17,22,
2016-03-18,70,
2016-03-19,97,
2016-03-20,49,
2016-03-21,34,
2016-03-22,24,
2016-03-23,28,
2016-03-24,38,
2016-03-25,82,
2016-03-26,59,
2016-03-27,76,
2016-03-28,29,
2016-03-29,21,
2016-03-30,54,
2016-03-31,18,
2016-04-01,120,
2016-04-02,18,
2016-04-03,16,
2016-04-04,67,
2016-04-05,30,
2016-04-06,14,
2016-04-07,18,
2016-04-08,47,
2016-04-09,30,
2016-04-10,22,
2016-04-11,52,
2016-04-12,35,
2016-04-13,54,
2016-04-14,36,
2016-04-15,75,
2016-04-16,75,
2016-04-17,146,
2016-04-18,32,
2016-04-19,24,
