endDate,stand_alex,stand_james,exercise_alex,exercise_james,activeEnergy_alex,activeEnergy_james
2015-10-12,2.0,,6.0,,84.64400000000005,
2015-10-13,16.0,,35.0,,538.3210000000003,
2015-10-14,14.0,,49.0,,747.4359999999994,
2015-10-15,14.0,,29.0,,408.75099999999946,
2015-10-16,15.0,,95.0,,838.4009999999993,
2015-10-17,17.0,,109.0,,1175.248,
2015-10-18,15.0,,42.0,,505.98299999999983,
2015-10-19,14.0,,31.0,,408.18200000000013,
2015-10-20,13.0,,32.0,,423.1389999999994,
2015-10-21,16.0,,61.0,,580.3969999999996,
2015-10-22,14.0,,31.0,,440.74400000000014,
2015-10-23,15.0,,93.0,,827.2220000000003,
2015-10-24,17.0,,93.0,,784.6599999999994,
2015-10-25,14.0,,32.0,,502.45299999999946,
2015-10-26,16.0,,34.0,,423.2450000000002,
2015-10-27,14.0,,51.0,,605.8999999999997,
2015-10-28,16.0,,33.0,,490.60199999999963,
2015-10-29,18.0,,31.0,,479.39899999999983,
2015-10-30,17.0,,61.0,,686.7560000000004,
2015-10-31,19.0,,84.0,,797.1139999999997,
2015-11-01,15.0,,45.0,,496.0900000000002,
2015-11-02,15.0,,48.0,,493.7799999999999,
2015-11-03,16.0,,43.0,,694.0890000000003,
2015-11-04,16.0,,36.0,,429.21599999999984,
2015-11-05,18.0,,30.0,,456.791,
2015-11-06,14.0,,32.0,,431.62000000000006,
2015-11-07,9.0,,52.0,,504.89799999999985,
2015-11-08,13.0,,47.0,,471.115,
2015-11-09,18.0,,35.0,,468.3179999999995,
2015-11-10,14.0,,48.0,,613.8880000000001,
2015-11-11,13.0,,44.0,,483.45099999999985,
2015-11-12,16.0,,39.0,,491.09500000000014,
2015-11-13,16.0,,50.0,,664.6039999999995,
2015-11-14,14.0,,55.0,,697.4319999999992,
2015-11-15,14.0,,50.0,,616.9719999999983,
2015-11-16,17.0,,37.0,,470.15400000000005,
2015-11-17,16.0,,48.0,,737.0689999999997,
2015-11-18,13.0,,31.0,,461.38400000000036,
2015-11-19,16.0,,39.0,,553.3189999999993,
2015-11-20,16.0,,31.0,,539.3780000000007,
2015-11-21,17.0,,80.0,,828.5210000000004,
2015-11-22,19.0,,36.0,,580.9889999999984,
2015-11-23,16.0,,44.0,,505.1,
2015-11-24,11.0,,56.0,,497.5029999999994,
2015-11-25,16.0,,75.0,,769.302999999999,
2015-11-26,18.0,,108.0,,1165.0779999999995,
2015-11-27,13.0,,68.0,,679.245999999999,
2015-11-28,11.0,,29.0,,356.62899999999934,
2015-11-29,16.0,,42.0,,516.1699999999993,
2015-11-30,16.0,,13.0,,332.49599999999975,
2015-12-01,16.0,,15.0,,339.82099999999963,
2015-12-02,13.0,,39.0,,491.73399999999947,
2015-12-03,14.0,,74.0,,1034.0999999999997,
2015-12-04,16.0,,44.0,,557.5899999999989,
2015-12-05,17.0,,28.0,,457.74899999999883,
2015-12-06,15.0,,20.0,,418.9690000000003,
2015-12-07,17.0,,27.0,,450.1210000000002,
2015-12-08,15.0,,22.0,,406.452,
2015-12-09,18.0,,26.0,,493.2749999999997,
2015-12-10,17.0,,43.0,,508.9970000000001,
2015-12-11,17.0,,75.0,,857.6030000000003,
2015-12-12,17.0,,27.0,,494.74299999999977,
2015-12-13,14.0,,56.0,,569.2359999999996,
2015-12-14,15.0,,20.0,,419.0219999999996,
2015-12-15,18.0,,38.0,,534.2,
2015-12-16,17.0,,36.0,,457.11800000000017,
2015-12-17,9.0,,46.0,,481.977,
2015-12-18,17.0,,124.0,,939.7189999999997,
2015-12-19,12.0,,40.0,,461.2899999999994,
2015-12-20,16.0,,75.0,,628.9929999999994,
2015-12-21,16.0,,21.0,,412.4830000000002,
2015-12-22,16.0,,33.0,,486.87999999999886,
2015-12-23,14.0,,31.0,,426.06599999999946,
2015-12-24,12.0,,27.0,,371.1009999999991,
2015-12-25,12.0,,46.0,,471.61299999999915,
2015-12-26,18.0,,91.0,,833.6209999999996,
2015-12-27,17.0,,100.0,,884.1379999999998,
2015-12-28,16.0,,27.0,,416.1719999999996,
2015-12-29,15.0,,59.0,,892.7349999999999,
2015-12-30,14.0,,25.0,,420.7289999999995,
2015-12-31,15.0,,92.0,,798.4459999999988,
2016-01-01,13.0,,125.0,,992.8279999999972,
2016-01-02,15.0,,78.0,,823.2049999999998,
2016-01-03,16.0,,23.0,,481.07399999999916,
2016-01-04,17.0,,28.0,,467.60599999999937,
2016-01-05,15.0,,34.0,,503.5380000000001,
2016-01-06,14.0,,48.0,,753.3189999999993,
2016-01-07,13.0,,13.0,,312.8439999999996,
2016-01-08,16.0,,62.0,,719.1999999999987,
2016-01-09,16.0,,38.0,,489.9619999999999,
2016-01-10,15.0,,63.0,,697.2379999999971,
2016-01-11,18.0,,23.0,,430.7569999999997,
2016-01-12,16.0,,84.0,,899.7949999999997,
2016-01-13,18.0,,37.0,,533.7899999999985,
2016-01-14,18.0,,35.0,,479.0389999999995,
2016-01-15,13.0,,33.0,,458.29499999999985,
2016-01-16,9.0,,44.0,,452.9999999999997,
2016-01-17,18.0,,45.0,,646.5550000000005,
2016-01-18,14.0,,24.0,,412.4119999999997,
2016-01-19,17.0,,67.0,,656.5559999999995,
2016-01-20,14.0,,73.0,,854.5049999999999,
2016-01-21,17.0,,21.0,,428.082,
2016-01-22,13.0,,29.0,,373.8689999999993,
2016-01-23,14.0,,85.0,,711.7750000000003,
2016-01-24,10.0,,41.0,,466.2069999999988,
2016-01-25,12.0,,50.0,,500.0149999999993,
2016-01-26,14.0,,66.0,,588.9990000000003,
2016-01-27,15.0,,37.0,,413.2699999999994,
2016-01-28,15.0,,23.0,,413.61,
2016-01-29,17.0,,40.0,,540.9149999999995,
2016-01-30,13.0,,31.0,,399.46999999999946,
2016-01-31,20.0,,29.0,,520.0979999999997,
2016-02-01,16.0,,25.0,,381.27999999999946,
2016-02-02,14.0,,30.0,,396.06900000000036,
2016-02-03,15.0,,30.0,,455.7240000000006,
2016-02-04,13.0,,52.0,,694.7060000000008,
2016-02-05,17.0,,37.0,,563.4009999999993,
2016-02-06,17.0,,19.0,,400.26199999999926,
2016-02-07,19.0,,56.0,,590.5690000000013,
2016-02-08,16.0,,37.0,,481.1939999999997,
2016-02-09,13.0,,20.0,,372.3149999999995,
2016-02-10,16.0,,15.0,,352.0749999999999,
2016-02-11,17.0,,34.0,,431.47499999999985,
2016-02-12,13.0,,48.0,,623.6379999999998,
