endDate,value_alex,value_james
2015-10-12,2,
2015-10-13,16,
2015-10-14,14,
2015-10-15,14,
2015-10-16,15,
2015-10-17,17,
2015-10-18,15,
2015-10-19,14,
2015-10-20,13,
2015-10-21,16,
2015-10-22,14,
2015-10-23,15,
2015-10-24,17,
2015-10-25,14,
2015-10-26,16,
2015-10-27,14,
2015-10-28,16,
2015-10-29,18,
2015-10-30,17,
2015-10-31,19,
2015-11-01,15,
2015-11-02,15,
2015-11-03,16,
2015-11-04,16,
2015-11-05,18,
2015-11-06,14,
2015-11-07,9,
2015-11-08,13,
2015-11-09,18,
2015-11-10,14,
2015-11-11,13,
2015-11-12,16,
2015-11-13,16,
2015-11-14,14,
2015-11-15,14,
2015-11-16,17,
2015-11-17,16,
2015-11-18,13,
2015-11-19,16,
2015-11-20,16,
2015-11-21,17,
2015-11-22,19,
2015-11-23,16,
2015-11-24,11,
2015-11-25,16,
2015-11-26,18,
2015-11-27,13,
2015-11-28,11,
2015-11-29,16,
2015-11-30,16,
2015-12-01,16,
2015-12-02,13,
2015-12-03,14,
2015-12-04,16,
2015-12-05,17,
2015-12-06,15,
2015-12-07,17,
2015-12-08,15,
2015-12-09,18,
2015-12-10,17,
2015-12-11,17,
2015-12-12,17,
2015-12-13,14,
2015-12-14,15,
2015-12-15,18,
2015-12-16,17,
2015-12-17,9,
2015-12-18,17,
2015-12-19,12,
2015-12-20,16,
2015-12-21,16,
2015-12-22,16,
2015-12-23,14,
2015-12-24,12,
2015-12-25,12,
2015-12-26,18,
2015-12-27,17,
2015-12-28,16,
2015-12-29,15,
2015-12-30,14,
2015-12-31,15,
2016-01-01,13,
2016-01-02,15,
2016-01-03,16,
2016-01-04,17,
2016-01-05,15,
2016-01-06,14,
2016-01-07,13,
2016-01-08,16,
2016-01-09,16,
2016-01-10,15,
2016-01-11,18,
2016-01-12,16,
2016-01-13,18,
2016-01-14,18,
2016-01-15,13,
2016-01-16,9,
2016-01-17,18,
2016-01-18,14,
2016-01-19,17,
2016-01-20,14,
2016-01-21,17,
2016-01-22,13,
2016-01-23,14,
2016-01-24,10,
2016-01-25,12,
2016-01-26,14,
2016-01-27,15,
2016-01-28,15,
2016-01-29,17,
2016-01-30,13,
2016-01-31,20,
2016-02-01,16,
2016-02-02,14,
2016-02-03,15,
2016-02-04,13,
2016-02-05,17,
2016-02-06,17,
2016-02-07,19,
2016-02-08,16,
2016-02-09,13,
2016-02-10,16,
2016-02-11,17,
2016-02-12,13,
2016-02-13,18,
2016-02-14,15,
2016-02-15,17,
2016-02-16,16,
2016-02-17,15,
2016-02-18,14,
2016-02-19,17,
2016-02-20,15,
2016-02-21,15,
2016-02-22,15,
2016-02-23,16,
2016-02-24,15,
2016-02-25,17,
2016-02-26,16,
2016-02-27,14,
